response_id,user_id,learning_content_surrogate_key,course_end_date,course_delivery_type,agency,attendance_motivation,positive_learning_experience,effective_use_of_time,relevant_to_work,did_experience_issue,did_experience_issue_detail,facilitator_skills,had_guest_speakers,guest_contribution,knowledge_level_prior,course_application,course_application_other,course_application_timeframe,general_feedback
81,4,100,2025-06-15,Blended,Department of Education,To improve my performance in my current role,4,4,3,None of the above,,Communicated clearly; Displayed strong knowledge of the subject matter; Encouraged participation and discussion; Used examples that are relevant to my context,Yes,The contributions of the guest speakers or presenters did not enhance my learning,Early Practitioner,Other,Could be more interactive.,I am not sure,
82,10,14,2025-05-01,Blended,Department of Health and Aged Care,My attendance was mandatory; Recommendation from others who have attended,5,2,5,None of the above,,Displayed strong knowledge of the subject matter; Managed time and pacing,Yes,Gave me confidence I will be able to successfully apply the learning; Strengthened my understanding of they key concepts,Experienced Practitioner,I have increased my confidence in my ability to use what I have learned,,I am not sure,
83,6,62,2025-04-25,Blended,The Treasury,My attendance was mandatory; To develop for a future role or career progression,2,1,1,None of the above,,Provided clear responses to learner questions,No,,Early Practitioner,I have increased my confidence in my ability to use what I have learned,,Within the next 1-3 months,Facilitator was excellent.
84,17,54,2025-09-05,In-person,Department of Defence,This course is a part of a broader learning pathway or program I am participating in; To improve my performance in my current role,4,5,3,Technical difficulties negatively impacted my participation,Some technical glitches with the platform.,Displayed strong knowledge of the subject matter,No,,Beginner,I am still unsure how to apply what I have learned; I have a plan on how I will apply what I have learned; During the course I had the opportunity to practice new skills,,I do not intent to apply anything covered in this course,
85,46,10,2025-09-15,Virtual,Department of Home Affairs,This course is a part of a broader learning pathway or program I am participating in,3,5,3,Technical difficulties negatively impacted my participation,Good resources provided.,Communicated clearly; Encouraged participation and discussion,No,,Expert,The course has prompted me to reflect in how I will do things differently; During the course I had the opportunity to practice new skills,,Immediately,Good resources provided.
86,30,36,2025-06-20,In-person,Australian Public Service Commission (APSC),My attendance was mandatory; Recommendation from others who have attended,5,3,3,None of the above,,Displayed strong knowledge of the subject matter; Used examples that are relevant to my context; Provided clear responses to learner questions,No,,Beginner,I can put what I have learned into my own words,,I am not sure,Looking forward to applying this.
87,22,81,2025-04-15,Virtual,Australian Taxation Office (ATO),My attendance was mandatory,5,1,2,None of the above,,Managed time and pacing; Displayed strong knowledge of the subject matter; Communicated clearly; Provided clear responses to learner questions,Yes,Strengthened my understanding of they key concepts,Beginner,I have increased my confidence in my ability to use what I have learned; During the course I had the opportunity to practice new skills; The course has prompted me to reflect in how I will do things differently,,I will not have the opportunity to apply anything covered in this course,The content was very insightful.
88,30,36,2025-06-20,Blended,Australian Public Service Commission (APSC),This course is a part of a broader learning pathway or program I am participating in; My supervisor/manager encouraged me to attend,3,4,4,None of the above,,Managed time and pacing; Used examples that are relevant to my context; Provided clear responses to learner questions,Yes,Gave me confidence I will be able to successfully apply the learning; Brought specialist knowledge or expertise,Beginner,I have a plan on how I will apply what I have learned; I am still unsure how to apply what I have learned; I have increased my confidence in my ability to use what I have learned,,I am not sure,The content was very insightful.
89,25,42,2025-07-01,Virtual,Department of Health and Aged Care,My supervisor/manager encouraged me to attend; To improve my performance in my current role,3,5,5,None of the above,,Encouraged participation and discussion; Provided clear responses to learner questions,No,,Expert,I have taken away useful tools or resources,,Within the next 1-3 months,Facilitator was excellent.
90,13,37,2025-05-07,In-person,Attorney-General's Department,My supervisor/manager encouraged me to attend,3,2,4,"Learning resources, such as workbooks or slides, were poorly designed or inconsistent with each other",Some technical glitches with the platform.,Managed time and pacing; Encouraged participation and discussion; Communicated clearly; Used examples that are relevant to my context,No,,Experienced Practitioner,I have taken away useful tools or resources,,Within the next month,The content was very insightful.
91,36,95,2025-07-20,Blended,The Treasury,Recommendation from others who have attended; This course is a part of a broader learning pathway or program I am participating in,1,4,2,Some of the course content was factually incorrect or out of date,Good resources provided.,Managed time and pacing; Displayed strong knowledge of the subject matter,Yes,Brought specialist knowledge or expertise,Beginner,I have a plan on how I will apply what I have learned; I am still unsure how to apply what I have learned,,I am not sure,Facilitator was excellent.
92,26,38,2025-03-25,In-person,National Disability Insurance Agency (NDIA),To improve my performance in my current role; My attendance was mandatory,1,1,4,One or more elements of the course did not meet my accessibility needs and no suitable alternative was provided,Could be more interactive.,Used examples that are relevant to my context; Communicated clearly; Displayed strong knowledge of the subject matter,Yes,Enhanced my understanding of how learning is relevant to my work context; Provided insights into the challenges and barriers I may face,Experienced Practitioner,I have increased my confidence in my ability to use what I have learned; I have taken away useful tools or resources; I have a plan on how I will apply what I have learned,,Longer term,The content was very insightful.
93,9,57,2025-05-03,Blended,Department of Prime Minister and Cabinet (PM&C),This course is a part of a broader learning pathway or program I am participating in; My supervisor/manager encouraged me to attend,2,3,4,None of the above,,None of the above,No,,Beginner,I can put what I have learned into my own words,,Immediately,
94,37,44,2025-09-18,Blended,Australian Taxation Office (ATO),My supervisor/manager encouraged me to attend,3,4,4,"Learning resources, such as workbooks or slides, were poorly designed or inconsistent with each other",Good resources provided.,Displayed strong knowledge of the subject matter; Managed time and pacing,Yes,Strengthened my understanding of they key concepts,Expert,I have taken away useful tools or resources; I can put what I have learned into my own words; During the course I had the opportunity to practice new skills,,Within the next 1-3 months,Enjoyed the practical exercises.
95,35,42,2025-03-15,Virtual,Department of Foreign Affairs and Trade (DFAT),My supervisor/manager encouraged me to attend; My attendance was mandatory,3,2,4,None of the above,,Communicated clearly,Yes,Brought specialist knowledge or expertise; Strengthened my understanding of they key concepts,Expert,I have a plan on how I will apply what I have learned,,Within the next 1-3 months,Met my expectations.
96,39,88,2025-07-25,In-person,Department of Prime Minister and Cabinet (PM&C),My attendance was mandatory,5,3,1,None of the above,,None of the above,No,,Early Practitioner,During the course I had the opportunity to practice new skills; I have increased my confidence in my ability to use what I have learned; I have a plan on how I will apply what I have learned,,Immediately,Looking forward to applying this.
97,44,29,2025-03-05,Virtual,"Department of Industry, Science and Resources",This course is a part of a broader learning pathway or program I am participating in; To develop for a future role or career progression,1,1,4,Technical difficulties negatively impacted my participation,Facilitator was excellent.,Displayed strong knowledge of the subject matter; Communicated clearly; Used examples that are relevant to my context; Managed time and pacing,Yes,The contributions of the guest speakers or presenters did not enhance my learning,Experienced Practitioner,Other,The content was very insightful.,I am not sure,A bit too fast-paced for me.
98,28,13,2025-05-15,Virtual,Attorney-General's Department,My supervisor/manager encouraged me to attend,5,5,2,"Learning resources, such as workbooks or slides, were poorly designed or inconsistent with each other",Could be more interactive.,Communicated clearly; Displayed strong knowledge of the subject matter; Encouraged participation and discussion; Provided clear responses to learner questions,No,,Early Practitioner,I have a plan on how I will apply what I have learned,,Within the next month,Some technical glitches with the platform.
99,42,76,2025-01-23,Blended,"Department of Agriculture, Fisheries and Forestry",To improve my performance in my current role; My supervisor/manager encouraged me to attend,4,2,1,None of the above,,Used examples that are relevant to my context; Provided clear responses to learner questions,Yes,The contributions of the guest speakers or presenters did not enhance my learning,Early Practitioner,I have a plan on how I will apply what I have learned; During the course I had the opportunity to practice new skills,,Within the next 1-3 months,Looking forward to applying this.
100,30,34,2025-07-17,In-person,Australian Public Service Commission (APSC),This course is a part of a broader learning pathway or program I am participating in; To improve my performance in my current role,4,1,2,None of the above,,None of the above,No,,Beginner,I can put what I have learned into my own words,,Immediately,Some technical glitches with the platform.
